题目ID,问卷部分,题目文本,题型,显示逻辑
A19,A 减重旅程,您为肥胖相关合并症/指标异常就诊时，是否接受过减重药物治疗？,single,仅A9包含2且A9不包含1时询问。
A19a,A 减重旅程,您是在为哪个肥胖相关合并症/指标异常就诊时接受减重药物治疗的？,single,仅A19=1时询问；只出示A18中医生建议体重管理的选项。
A20,A 减重旅程,医生为您处方减重治疗方案中，包含以下哪些治疗方式？,multi,仅A11=1/2或A19=1时询问。
A21,A 减重旅程,在和医生协商确定减重治疗方案时，GLP-1药物选择的决策权如何？,single,仅A20包含2时询问。
A22,A 减重旅程,接受减重手术治疗后体重下降多少kg？是否经历体重反弹，若反弹则反弹多少kg？,numeric_group,仅A20包含4时询问。
A23,A 减重旅程,请问您在接受减重治疗后，是否定期到院复诊或随访？,single,
A23a,A 减重旅程,请问您复诊或随访的频率如何？,numeric,仅A23=1时询问。
B1,B GLP-1药物选择与使用情况,请问您是否知晓GLP-1药物可用于超重或肥胖症的减重治疗？,single,仅S10不含13且A20不含2，即未使用过GLP-1用于减重时询问。
B2,B GLP-1药物选择与使用情况,知晓GLP-1可用于减重但未曾尝试的原因是什么？,multi,仅B1=1时询问。
B2a,B GLP-1药物选择与使用情况,您对未来尝试使用GLP-1药物用于减重的意愿如何？0分不会，10分一定会。,rating_0_10,
B3,B GLP-1药物选择与使用情况,选择GLP-1作为减重治疗药物时，以下考虑因素的重要程度分别如何？,matrix_rating_1_7,
B4_B5,B GLP-1药物选择与使用情况,对您而言，GLP-1达到'起效速度快'和'减重效果好'的判断标准是什么？,numeric_group,B4仅B3-1>=5；B5仅B3-2>=5。
B6,B GLP-1药物选择与使用情况,关于GLP-1药物调整剂量的挡位数量，哪一项与您的理念最相符？,single,仅B3-14>=5时询问。
B7,B GLP-1药物选择与使用情况,关于GLP-1药物起始剂量，哪一项与您的理念最相符？,single,
B8,B GLP-1药物选择与使用情况,未曾因为体重问题到院就诊时，驱动您开启GLP-1药物治疗的主要因素有哪些？,multi,仅S10包含13且A9不包含1时询问。
B9,B GLP-1药物选择与使用情况,请勾选既往使用过的GLP-1药物品牌，并填写当前使用状态和启用时间。,matrix,仅S10包含13或A20包含2时询问。
B12,B GLP-1药物选择与使用情况,选择司美格鲁肽/替尔泊肽/玛仕度肽/埃诺格鲁肽时，哪些是最终决策的重要影响因素？最重要因素是什么？,matrix_multi_plus_single,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B13,B GLP-1药物选择与使用情况,选择相关GLP-1时，您从哪些信息渠道获取过产品信息？,matrix_multi,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B14,B GLP-1药物选择与使用情况,回忆GLP-1实际使用过程中的剂量调整过程：起始剂量、维持剂量、过渡剂量及各阶段持续周数。,matrix_titration,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B14d,B GLP-1药物选择与使用情况,估算各GLP-1使用经历中累计经历过几次漏打针。,matrix_numeric,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B10,B GLP-1药物选择与使用情况,既往使用过但目前已停用的GLP-1药物，停药原因分别是什么？最重要原因是什么？,matrix_multi_plus_single,仅B9中有目前已停用的药物时询问。
B11,B GLP-1药物选择与使用情况,使用过至少两种GLP-1时，驱动更换药物决策的因素有哪些？,matrix_multi,仅B9使用过至少两种GLP-1时询问。
X1,B GLP-1药物选择与使用情况,哪些GLP-1用药体验优化可以驱动您坚持使用GLP-1？最重要因素是什么？,multi_plus_single,
B15,B GLP-1药物选择与使用情况,GLP-1使用过程中，是否有中断一段时间再续用该药物的情况？次数和平均中断时长？,matrix_numeric,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B15a,B GLP-1药物选择与使用情况,使用该药物期间，中断再续用的原因是什么？,matrix_single,仅B15中有中断再续用的药物时询问。
B16,B GLP-1药物选择与使用情况,是否借助厂家提供的小程序作为用药记录、提醒和指南支持工具？满意度如何？最有帮助的功能是什么？,matrix,仅B9使用过3/4/5时询问；B16b仅满意度>5时填写。
B17,B GLP-1药物选择与使用情况,使用各GLP-1药物后，体重下降了多少kg？,matrix_numeric,仅S10包含13或A20包含2时询问；只出示B9使用过的药物。
B18,B GLP-1药物选择与使用情况,停止使用各GLP-1药物后，是否经历体重反弹？若经历，反弹多少kg？,matrix_numeric,仅B9中有目前已停用药物时询问。
B19,B GLP-1药物选择与使用情况,结合实际使用体验，对使用过的GLP-1药物在各维度表现的满意度打分。,matrix_rating_1_7,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B20,B GLP-1药物购买渠道,初次购买各GLP-1药物的渠道分别是什么？,matrix_single,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B20a,B GLP-1药物购买渠道,初次通过电商购买GLP-1时，电商平台分别是什么？,matrix_single,仅出示B20=2（电商）的药物。
B21,B GLP-1药物购买渠道,在电商平台初次购买GLP-1前，对自身健康情况做了哪些评估？,matrix_multi,仅出示B20=2（电商）的药物。
B22,B GLP-1药物购买渠道,在电商平台初次购买GLP-1时，处方由谁开具？,matrix_single,仅出示B20=2（电商）的药物。
B23,B GLP-1药物购买渠道,后续续药各GLP-1药物的渠道有哪些？,matrix_multi,仅B9使用过3/4/5/6时询问；只出示已使用药物。
B23a,B GLP-1药物购买渠道,后续通过电商续药GLP-1时，电商平台有哪些？,matrix_multi,仅出示B23包含2（电商）的药物。
B24,B GLP-1停药患者序贯意愿测试,是否可以接受再次使用其他品牌GLP-1作为减重治疗方案？,single,仅B9所有使用过药物状态均为目前已停用时询问。
B24a,B GLP-1停药患者序贯意愿测试,希望接受以下哪个未使用过的GLP-1作为减重治疗方案？,single,仅B24=1时询问；只出示B9未使用过的药物。
B24b,B GLP-1停药患者序贯意愿测试,更希望接受B24a所选GLP-1作为后续减重治疗方案的原因有哪些？,multi,仅B24a=1/2/3/4时询问。
C1,C 新产品测试,阅读产品X、产品A、产品B、产品C信息后，对各药物在各维度上的表现满意度和总体满意度分别打分。,matrix_rating_1_7,
C2,C 新产品测试,阅读产品信息后，在不考虑价格的情况下，您对产品X的使用意愿如何？,rating_0_10,
C3,C 新产品测试,若对产品X使用意愿不足8分，哪些因素导致犹豫？并选出最主要的三个原因排序。,multi_plus_rank,仅C2<8时询问。
C4,C 商品名测试,C4 商品名易读性，按商品名1-6顺序导出。,matrix_rating_1_7,
C5,C 商品名测试,C5 商品名好记程度，按商品名1-6顺序导出。,matrix_rating_1_7,
C6,C 商品名测试,评价各商品名与'重新定义代谢健康，从而改变患者的生活方式、遇见更好的未来'产品理念的相关程度。,matrix_rating_1_7,
C7,C 商品名测试,评价各商品名与'助力患者迈上通往健康的道路，自由前行'产品理念的相关程度。,matrix_rating_1_7,
D1,D 受访者基本情况,下列哪项最能描述您本人现在的工作状态？,single,
D2,D 受访者基本情况,请问您本人目前的职业是什么？兼职被访者请选择当前最主要工作。,single,仅D1=1/2时询问。
D3,D 受访者基本情况,请选择与您的工作性质最相符的描述。,multi,
D4,D 受访者基本情况,请问您的婚姻状况如何？,single,
D5,D 受访者基本情况,请问您是否有子女？共有几个子女？,single,仅D4=2/3/4时询问。
D6,D 受访者基本情况,日常生活中，您主要需要照顾哪些家庭成员？,single,
D7,D 受访者基本情况,请对以下健康理念和身体状态表述的认同度打分。,matrix_rating_1_7,
D8,D 受访者基本情况,请对以下减重理念的认同度打分。,matrix_rating_1_7,
D9,D 受访者基本情况,想象一个理想的微信支持工具，以下哪种功能对您最有吸引力？,single,仅D8-4>5时询问。
